region,source_name,source_name_local,type,subtype,url_news,url_home,language,rss_or_api,update_frequency,robotics_relevance,priority_tier,collection_route,watch_keywords,verification_role,notes
China,MIIT,工业和信息化部,Government,Ministry press releases,https://www.miit.gov.cn/xwdt/gxdt/index.html,https://www.miit.gov.cn/,zh,None — scrape,Daily,National robotics industry policies and standard announcements,P0,page scrape,机器人;具身智能;人工智能,official policy text,
China,NDRC,国家发展和改革委员会,Government,Ministry press releases,https://www.ndrc.gov.cn/xwdt/xwfb/,https://www.ndrc.gov.cn/,zh,None — scrape,Daily,Macroeconomic policies and major robotics project approvals,P0,page scrape,机器人;智能制造,official policy text,
China,MOST,科学技术部,Government,Ministry press releases,https://www.most.gov.cn/tpxw/,https://www.most.gov.cn/,zh,None — scrape,Daily,National R&D funding and technology innovation policies,P0,page scrape,机器人;人工智能,official policy text,
China,CNIPA,国家知识产权局,Patent,Patent announcements,https://www.cnipa.gov.cn/col/col53/index.html,https://www.cnipa.gov.cn/,zh,None — scrape,Daily,Robotics patent grants and IP policies,P1,page scrape,机器人;专利,patent filings,
China,SAMR,国家市场监督管理总局,Standards,Standards announcements,https://www.samr.gov.cn/xw/zj/,https://www.samr.gov.cn/,zh,None — scrape,Daily,National robotics standards and market regulations,P1,page scrape,机器人;标准,official policy text,
China,State Council,国务院,Government,State Council policies,http://www.gov.cn/zhengce/,http://www.gov.cn/,zh,None — scrape,Daily,Top-level national policies on AI and robotics,P0,page scrape,机器人;人工智能,official policy text,
China,Beijing Gov,北京市人民政府,Government,Provincial policies,https://www.beijing.gov.cn/zhengce/zhengcefagui/,https://www.beijing.gov.cn/,zh,None — scrape,Daily,Beijing municipal robotics and humanoid policies,P0,page scrape,机器人;具身智能,official policy text,
China,Shanghai Gov,上海市人民政府,Government,Provincial policies,https://www.shanghai.gov.cn/nw12344/index.html,https://www.shanghai.gov.cn/,zh,None — scrape,Daily,Shanghai municipal robotics and AI policies,P0,page scrape,机器人;人工智能,official policy text,
China,Shenzhen Gov,深圳市人民政府,Government,Provincial policies,http://www.sz.gov.cn/cn/xxgk/zfxxgj/zcfg/,http://www.sz.gov.cn/,zh,None — scrape,Daily,Shenzhen municipal robotics and tech policies,P0,page scrape,机器人;智能制造,official policy text,
China,CNINFO,巨潮资讯网,Disclosure,Exchange disclosure portal,http://www.cninfo.com.cn/new/index,http://www.cninfo.com.cn/,zh,API: CNINFO,Daily,Financial reports and corporate actions of listed robotics companies,P0,API,机器人;财报;公告,funding filings,
China,SSE,上海证券交易所,Disclosure,Exchange disclosure portal,http://www.sse.com.cn/disclosure/listedinfo/announcement/,http://www.sse.com.cn/,zh,None — scrape,Daily,Announcements from companies listed on Shanghai Stock Exchange,P0,page scrape,机器人;公告,funding filings,
China,SZSE,深圳证券交易所,Disclosure,Exchange disclosure portal,http://www.szse.cn/disclosure/listed/notice/index.html,http://www.szse.cn/,zh,None — scrape,Daily,Announcements from companies listed on Shenzhen Stock Exchange,P0,page scrape,机器人;公告,funding filings,
China,BSE,北京证券交易所,Disclosure,Exchange disclosure portal,http://www.bse.cn/disclosure/announcement.html,http://www.bse.cn/,zh,None — scrape,Daily,Announcements from companies listed on Beijing Stock Exchange,P1,page scrape,机器人;公告,funding filings,
China,CCGP,中国政府采购网,Procurement,Procurement portal,http://www.ccgp.gov.cn/cggg/dfgg/,http://www.ccgp.gov.cn/,zh,None — scrape,Daily,Government procurement bids and awards for robotics,P0,page scrape,机器人;采购,procurement records,
China,Unitree,宇树科技,Company,Company newsroom,https://www.unitree.com/mobile/news,https://www.unitree.com/,zh+en,None — scrape,Event-driven,Product launches and updates for quadruped and humanoid robots,P0,page scrape,机器人;发布,product announcements,
China,UBTECH,优必选,Company,Company newsroom,https://www.ubtrobot.com/en/announce,https://www.ubtrobot.com/,zh+en,None — scrape,Event-driven,Corporate announcements and financial updates of UBTECH,P0,page scrape,机器人;公告,funding filings,
China,AgiBot,智元机器人,Company,Company newsroom,https://www.agibot.com/news,https://www.agibot.com/,zh+en,None — scrape,Event-driven,Humanoid robot product launches and company news,P0,page scrape,机器人;发布,product announcements,
China,Fourier,傅利叶智能,Company,Company newsroom,https://www.fftai.com/newsroom,https://www.fftai.com/,zh+en,None — scrape,Event-driven,General purpose and rehabilitation robotics news,P0,page scrape,机器人;发布,product announcements,
China,Galbot,银河通用,Company,Company newsroom,https://galbot.com/about,https://galbot.com/,zh+en,None — scrape,Event-driven,Embodied AGI and dual-arm robot news,P1,page scrape,机器人;发布,product announcements,
China,EngineAI,逐际动力,Company,Company newsroom,https://en.engineai.com.cn/,https://en.engineai.com.cn/,zh+en,None — scrape,Event-driven,Humanoid and quadruped robot updates,P1,page scrape,机器人;发布,product announcements,
China,Estun,埃斯顿,Company,Company newsroom,https://en.estun.com/?list_52/,https://en.estun.com/,zh+en,None — scrape,Event-driven,Industrial robotics and automation news,P1,page scrape,机器人;发布,product announcements,
China,Siasun,新松机器人,Company,Company newsroom,https://www.siasun.com/news,https://www.siasun.com/,zh+en,None — scrape,Event-driven,Industrial and service robotics news,P1,page scrape,机器人;发布,product announcements,
China,Inovance,汇川技术,Company,Company newsroom,https://www.inovance.com/news,https://www.inovance.com/,zh+en,None — scrape,Event-driven,Industrial automation and robotics components news,P1,page scrape,机器人;发布,product announcements,
China,Leju,乐聚机器人,Company,Company newsroom,https://www.lejurobot.com/news,https://www.lejurobot.com/,zh+en,None — scrape,Event-driven,Humanoid robot and AI education news,P1,page scrape,机器人;发布,product announcements,
China,DJI,大疆,Company,Company newsroom,https://www.dji.com/newsroom,https://www.dji.com/,zh+en,None — scrape,Event-driven,Drones and robotics product launches,P1,page scrape,机器人;发布,product announcements,
China,Pudu,普渡科技,Company,Company newsroom,https://www.pudurobotics.com/news,https://www.pudurobotics.com/,zh+en,None — scrape,Event-driven,Commercial service robot news,P1,page scrape,机器人;发布,product announcements,
China,Keenon,擎朗智能,Company,Company newsroom,https://www.keenon.com/news,https://www.keenon.com/,zh+en,None — scrape,Event-driven,Commercial service robot news,P1,page scrape,机器人;发布,product announcements,
China,Orbbec,奥比中光,Company,Company newsroom,https://www.orbbec.com/news/,https://www.orbbec.com/,zh+en,None — scrape,Event-driven,3D vision and robotics perception news,P1,page scrape,机器人;发布,product announcements,
China,RobotEra,星动纪元,Company,Company newsroom,https://www.robotera.com/news,https://www.robotera.com/,zh+en,None — scrape,Event-driven,Humanoid robot news,P1,page scrape,机器人;发布,product announcements,
