region,source_name,source_name_local,type,subtype,url_news,url_home,language,rss_or_api,update_frequency,robotics_relevance,priority_tier,collection_route,watch_keywords,verification_role,ticker,origin,notes
China,AgiBot,智元机器人,Company,Company newsroom,https://www.agibot.com/news,https://www.agibot.com/,zh+en,None — scrape,Event-driven,Humanoid robot product launches and company news,P0,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,Fourier,傅利叶智能,Company,Company newsroom,https://www.fftai.com/newsroom,https://www.fftai.com/,zh+en,None — scrape,Event-driven,General purpose and rehabilitation robotics news,P0,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,UBTECH,优必选,Company,Company newsroom,https://www.ubtrobot.com/en/announce,https://www.ubtrobot.com/,zh+en,None — scrape,Event-driven,Corporate announcements and financial updates of UBTECH,P0,page scrape,机器人;公告,funding filings,,Registry v1 (Jul 28),
China,Unitree,宇树科技,Company,Company newsroom,https://www.unitree.com/mobile/news,https://www.unitree.com/,zh+en,None — scrape,Event-driven,Product launches and updates for quadruped and humanoid robots,P0,page scrape,机器人;发布,product announcements,,Registry v1 (Jul 28),
China,CNINFO,巨潮资讯网,Disclosure,Exchange disclosure portal,http://www.cninfo.com.cn/new/index,http://www.cninfo.com.cn/,zh,API: CNINFO,Daily,Financial reports and corporate actions of listed robotics companies,P0,API,机器人;财报;公告,funding filings,,Registry v1 (Jul 28),
China,SSE,上海证券交易所,Disclosure,Exchange disclosure portal,http://www.sse.com.cn/disclosure/listedinfo/announcement/,http://www.sse.com.cn/,zh,None — scrape,Daily,Announcements from companies listed on Shanghai Stock Exchange,P0,page scrape,机器人;公告,funding filings,,Registry v1 (Jul 28),
China,SZSE,深圳证券交易所,Disclosure,Exchange disclosure portal,http://www.szse.cn/disclosure/listed/notice/index.html,http://www.szse.cn/,zh,None — scrape,Daily,Announcements from companies listed on Shenzhen Stock Exchange,P0,page scrape,机器人;公告,funding filings,,Registry v1 (Jul 28),
China,Beijing Gov,北京市人民政府,Government,Provincial policies,https://www.beijing.gov.cn/zhengce/zhengcefagui/,https://www.beijing.gov.cn/,zh,None — scrape,Daily,Beijing municipal robotics and humanoid policies,P0,page scrape,机器人;具身智能,official policy text,,Registry v1 (Jul 28),
China,MIIT,工业和信息化部,Government,Ministry press releases,https://www.miit.gov.cn/xwdt/gxdt/index.html,https://www.miit.gov.cn/,zh,None — scrape,Daily,National robotics industry policies and standard announcements,P0,page scrape,机器人;具身智能;人工智能,official policy text,,Registry v1 (Jul 28),
China,MOST,科学技术部,Government,Ministry press releases,https://www.most.gov.cn/tpxw/,https://www.most.gov.cn/,zh,None — scrape,Daily,National R&D funding and technology innovation policies,P0,page scrape,机器人;人工智能,official policy text,,Registry v1 (Jul 28),
